name,price
"Original Kettle Chips, 8 oz",$1.99
"Organic Blue Corn Tortilla Chips, 8.25 oz",$2.55
"Organic Multigrain Tortilla Chips, 8.25 oz",$2.55
"Pretzel Mini Twists, 1 lb",$2.19
"Mesquite Barbecue Kettle Chips, 8 oz",$1.99
"Jalapeño Kettle Chips, 8 oz",$1.99
"Sea Salt and Vinegar Kettle Chips, 8 oz",$1.99
"Wavy Potato Chips, 10 oz",$1.99
"Barbecue Potato Chips, 9.5 oz",$1.99
"Restaurant Style Tortilla Chips, 13 oz",$2.09
"Original Baked Potato Crisps, 6.25 oz",$3.19
"Butter Entertainment Crackers, 7 oz",$1.65
"Saltine Crackers, 16 oz",$1.95
"Cheddar Rice Snacks, 6 oz",$3.29
"Wheat Entertainment Crackers, 8 oz",$1.65
"Garlic & Chive Pita Crackers, 5 oz",$2.75
"Everything Pretzel Slims, 8 oz",$2.19
"Pretzel Sticks, 1 lb",$2.19
"Honey Wheat Pretzels, 24 oz",$5.85
"Organic Sea Salt Popcorn, 6 oz",$3.65
"Snack Combo Pack, 18 count",$7.25
"Veggie Straws, 7 oz",$3.09
"Big Dipper Tortilla Chips, 10 oz",$2.09
"Golden Round Crackers, 13.7 oz",$2.65
"Cheese Curls, 8.5 oz",$2.09
"Cheese Puffs, 8 oz",$2.09
"Sour Cream and Onion Potato Chips, 9.5 oz",$1.99
"Caramel Rice Snacks, 7 oz",$3.29
"Clubhouse Crackers, 13.7 oz",$3.29
"Reduced Fat Thin Wheat Crackers, 8.5 oz",$2.99
"Six Cracker Assortment, 13.1 oz",$4.19
"Soup & Oyster Crackers, 10 oz",$1.55
"Sea Salt Pita Crackers, 5 oz",$2.75
"Vegetable Entertainment Crackers, 8 oz",$1.65
"Corn Chips, 9.25 oz",$1.99
"Pretzel Rods, 26 oz",$5.85
"Wheat Round Crackers, 12.9 oz",$2.65
"Original Pretzel Slims, 8 oz",$2.19
"Peanut Butter Filled Pretzels, 24 oz",$4.95
"Original Potato Chips, 10 oz",$1.99
"Lightly Salted Rice Cakes, 4.9 oz",$3.25
"Gluten Free Sweet Chili Brown Rice Crisps, 7 oz",$3.15
"Sweet and Savory Bar Mix, 43 oz",$8.79
"White Cheddar Puffs, 4 oz",$3.09
"Organic Yellow Corn Tortilla Chips, 11 oz",$3.09
"Sweet Potato Chips, 7 oz",$4.09
"Caramel Corn Rice Cakes, 6.56 oz",$3.25
"Tortilla Strips, 24 oz",$4.19
"Mini Peanut Butter Sandwich Crackers, 8.8 oz",$3.05
"Mini Cheese Sandwich Crackers, 8.8 oz",$3.05
"Barbecue Baked Potato Crisps, 6.25 oz",$3.19
"Mini Peanut Butter Sandwich Crackers, 12 oz",$5.49
"Mini Cheese Sandwich Crackers , 12 oz",$5.49
"Vegetable Round Crackers, 13.3 oz",$2.65
"Cheese Puffs, 8 oz",$2.15
Cinnamon Apple Chips,$2.19
Original Apple Chips,$2.19
"Rosemary Olive Oil Woven Wheat Crackers, 9 oz",$2.55
"Non-GMO Roasted Seaweed Snacks - 3 pack, 0.17 oz",$1.65
"Butter Puffed Corn, 5 oz",$1.89
Cinnamon Apple Chips,$2.19
"Cheddar Cauliflower Crackers, 4 oz",$2.99
Original Apple Chips,$2.19
"Rosemary Olive Oil Woven Wheat Crackers, 9 oz",$2.55
"Butter Puffed Corn, 5 oz",$1.89
"Turtles Baked Cheddar Snack Crackers, 19 oz",$4.29
"Gluten Free Peanut Butter & Jelly Bites, 6 count",$5.99
"Roasted Garlic Bagel Chips, 6 oz",$3.29
"Sea Salt Bagel Chips, 6 oz",$3.29
"Ranch Veggie Straws, 7 oz",$3.09
"Family Size Original Flavor Bugles, 14.5 oz",$4.12
"Family Size Baked Cheese Crackers, 21 oz",$4.19
"Original Artisan Crackers, 6 oz",$3.85
"Potato Chip Variety Packs, 18 bags",$7.25
"Flavor Mix Variety Pack Chips, 18 count",$9.89
"Melting Romano Cheese Crisps, 4.5 oz",$3.85
"Asiago Cheddar Cheese Crisps, 4.5 oz",$3.85
"Original Baked Snack Crackers, 7 oz",$3.05
"Cracked Pepper Woven Wheat Crackers, 9 oz",$2.55
"Scalloped Sea Salt Crackers, 6.5 oz",$2.19
"Scalloped Cracker Black Pepper, 6.5 oz",$2.19
"Turtle Baked Extra Cheddar Snack Crackers, 19 oz",$4.29
"Family Size Nacho Cheese Flavor Bugles, 14.5 oz",$4.12
"Cheese Puffed Corn, 5 oz",$1.89
"Nacho Cheese Tortilla Chips, 9.25 oz",$3.35
"Rosemary Artisan Crackers, 6 oz",$3.85
"Family Size Baked White Cheddar Cheese Crackers, 21 oz",$4.19
"Jalapeno Cheddar Protein Puffs, 2.1 oz",$3.09
"Nacho Cheese Protein Puffs, 2.1 oz",$3.09
"Rolled Fuego Tortilla Chips, 9.9 oz",$4.29
"Italian Breadsticks Mixed Seeds, 4.4 oz",$2.19
"Italian Breadsticks Sea Salt & Olive Oil, 4.4 oz",$2.19
"Italian Breadsticks Rosemary, 4.4 oz",$2.19
"Cinnamon Apple Straws, 6 oz",$2.45
"Garden Salsa Whole Grain Chips, 7 oz",$4.39
"Harvest Cheddar Whole Grain Chips, 7 oz",$4.39
"Original Pringles Party Stacks, 6.8 oz",$2.85
"Cheddar Cheese Pringles Party Stacks, 7.1 oz",$2.85
"Sour Cream & Onion Pringles Party Stacks, 7.1 oz",$2.85
"Hint of Lime Tortilla Chips, 13 oz",$2.09
"Gluten Free Sea Salt Brown Rice Crisps, 7 oz",$3.15
"Movie Theater Butter Microwave Popcorn, 12 count",$4.95
"Bite Size Tortilla Chips, 13 oz",$2.09
"Ritz Fresh Stacks Crackers, 17.8 oz",$5.75
"Cheddar Cheese Crisp, 1.95 oz",$2.45
"Parmesan Cheese Crisp, 1.95 oz",$2.45
