name,price
"Chocolate Chip Cookies, 12ct",$5.99
"Bakery Fresh 12"" Ghirardelli Chocolate Chip Cookie",$15.99
Sourdough Artisan Bread,$4.99
French Loaf 2 Count,$3.49
Bakery Fresh Monster Cookies with Ghirardelli Chocolate Chips 12Ct,$5.99
Croissants 6 Count,$6.99
"Cherry Cheesecake, Large",$9.99
Bakery Fresh Variety Pack Cookies 36Ct,$14.99
"Scotcharoos, 6 count",$5.99
"Hamburger Buns, 8 Count",$3.99
Glazed Donuts 6 Count,$6.00
Brat Buns 6 Count,$3.99
Cinnamon Rolls 4 Count,$4.99
Iced Gourmet Cinnamon Rolls 4CT,$6.99
Bakery Fresh M&M Cookies 12Ct,$5.99
"Oatmeal Raisin, 12ct",$5.99
Sourdough Breakfast Bread,$4.99
"Fudge Brownies, 6 count",$5.99
Goldminer Sourdough Square Bread,$5.99
Mini Croissants 12 Count,$6.99
"Seasonal Iced Cut-Out Cookies, 6 Count",$5.99
"Angel Food Cake, Round",$4.99
"Mini Chocolate Chip Cookies, 18 Count",$5.99
"Cake Donut Holes, 18 Count",$3.99
"Snickerdoodle Cookies, 12 count",$5.99
Bakery Fresh Baguette,$2.49
"Homestyle Brownie Cookies, 12ct",$5.99
"Hy-Vee Baking Stone Garlic Bread, Full Loaf",$4.99
Assorted Rolls And Donuts Classic Assortment 12Ct,$12.00
"Pumpkin Bars, 6 count",$5.99
Angel Food Cake,$3.99
"Asiago Cheese Bagels, 3 Count",$4.99
"Peanut Butter Cookies, 12 count",$5.99
Banana Bread,$4.99
"Coconut Pecan Cookies, 10ct",$6.99
Vienna Bread,$3.99
"Blueberry Scones, 6 count",$4.99
"Puff Crispies, 3 count",$4.99
Cherry Strudle Bites 12Ct,$4.99
Hot Dog Buns 8 Count,$3.99
Large Croissants 3 Count,$3.99
Donut Holes Variety Pack 36 Ct,$6.99
Asiago Cheese Artisan Bread,$6.99
"Cream Cheese Brownies, 6 count",$5.99
White Bread,$3.99
"Blueberry Donut Holes, 18 Count",$3.99
Mini Croissants 6 Count,$3.99
The Fathers Table Variety Cheesecake,$22.99
Cinnamon Crumb Cake Bars,$4.99
"Sugar Cookies, 12 count",$5.99
White Cocktail Buns 12 Count,$3.99
"Assorted Classic Donut, 6Ct",$7.50
Bakery Fresh Brookie Cookies 6Ct,$5.99
Raspberry White Chocolate Scones 6 Count,$4.99
U-Bake It Sweet Yeasty Cinnamon Roll 6 Count,$6.99
Glazed Donuts 12 Count,$12.00
Hy-Vee Baking Stone Italian Bread,$2.99
"Apple Strudel Bites, 12 count",$4.99
"Mini Cherry Turnovers, 4 count",$4.99
"Mini M&M Cookies, 18ct",$5.99
Cupcakes Variety Pack - White & Chocolate Cupcakes With White Icing,$13.99
Artisan San Francisco Sour Dough Bread Half Loaf,$2.99
Wheat Sliced Bread,$3.99
Garlic Chips,$3.99
Oreo Cookies & Cream Fluff,$5.99 ea.
Brookie Bars 6 Count,$5.99
"Sweet P's Bake Shop Frosted Sugar Cookies, White",$4.99
"Chocolate Donut Holes, 18 Count",$3.99
Hy-Vee Cinnamon Chunky Bread,$3.99
Bakery Fresh White Chip Cookie with Macadamia 12Ct,$5.99
"Apple Pie, Half",$7.49
Pumpkin Bread,$4.99
"Blueberry Bagels, 3 Count",$4.99
"Plain Bagels, 3 Count",$4.99
Hoagie Buns 4Ct,$2.99
"Cherry Donut Holes, 18 Count",$3.99
Artisan French Boule,$4.99
"Mini Apple Turnovers, 4 count",$4.99
Artisan Roasted Garlic Sour Dough Bread,$5.99
3 White & 3 Chocolate Cupcakes White Iced 6 Count,$6.99
"M&M Brownie Cookies, 12ct",$5.99
Bakery Fresh Marble Rye Bread,$4.99
"Cherry Pie, Half",$7.49
"Strawberry Rhubarb Pie, Half",$7.49
"Crispy Chocolate Chip Cookies, 12ct",$5.99
Pumpernickel Rye Bread,$4.99
The Father's Table New York Style Cheesecake,$19.99
Hard Rolls 8Ct,$3.49
The Father's Table Three Slice Variety Cheesecake,$7.99
Ancient Grain Breakfast Bread,$4.99
Bakery Fresh Hawaiian Hamburger Buns 8 Count,$3.99
Hamburger Buns 4 Count,$2.49
New York Salt Rye Bread,$4.99
"Oatmeal Chocolate Chip Cookies, 12ct",$5.99
Wholesome Harvest 9 Grain & Seed Loaf,$5.99
Classic 10 Grain Bread,$5.99
French Loaf,$2.49
White Mini Cupcakes - White Iced 12 Count,$6.99
Small Round White Cake With White Icing,$9.99
Cranberry Walnut Bread,$6.99
Bakery Fresh Lemon White Chip Cookies 12Ct,$5.99
Bakery Fresh Hawaiian Slider Buns 12 Count,$4.49
Pan Toscano Bread,$4.99
"Peach Pie, Half",$7.49
Corn Bread,$4.99
"Brownie Tray, 24 count",$16.99
Cream Cheese Breakfast Bar Coffee Cake,$4.99
Onion Hamburger Buns 8 Count,$4.49
GRAINS OF THE EARTH BREAD Serving = 1 Slice,$4.99
Everyday Chocolate Cupcakes - White Icing 6 Count,$5.99
Chocolate Chunk Scones 6Ct,$4.99
German Chocolate Brownies 6 Count,$5.99
Pound Cake,$4.99
Everyday Cupcakes White w/ White Icing 6 Count,$5.99
Specialty Bakers Vanilla French Twirl,$3.99
The Father's Table Strawberry Swirl Cheesecake,$19.99
Wheat Cocktail Buns 12 Count,$3.99
Tiramisu Layer Bar Cake Cakerie Cake,$18.99
Raspberry Breakfast Bar Coffee Cake,$4.99
White Slider Buns 12Ct,$3.99
Raisin Walnut Artisan Bread,$6.99
Cinnamon Crimp Bread,$3.99
Vander Ploeg Bakery Dutch Letter,$7.99
Jalapeño Cheddar Artisan Bread,$5.99
Artisan Asiago Cheese Bread Half Loaf,$3.99
Mini Chocolate Cupcakes White Iced,$6.99
Sweet P Cookie Pink Frosting,$4.99
Racine Danish Kringles Raspberry Danish 14 oz,$8.99
Cherry Breakfast Bar Coffee Cake,$4.99
Apple Breakfast Bar Coffee Cake,$4.99
Lemon Breakfast Bar Coffee Cake,$4.99
The Father's Table New York Style Cheesecake 3 Slices,$7.99
Unbleached Breakfast Bread,$4.99
Turtle Brownies 6Ct,$5.99
Tuxedo Truffle Bar Cake Original Cakery,$18.99
Lemon Supreme Bar Cake Original Cakery,$18.99
"Sticky Pull-A-Part, 9 count",$3.99
Wheat Hot Dog Buns 8 Count,$3.99
Blueberry Breakfast Bar Coffee Cake,$4.99
"Sesame Seed Hamburger Buns, 8 Count",$4.49
Strawberry Shortcake Bar Cake. Original Cakery,$18.99
Artisan Ciabatta Bread,$4.99
Emily Kate's Cinnamon Rolls,$12.99
"Bakery Fresh 7"" Red Velvet Double Layer Round Cake",$24.99
Blueberry Dessert Loaf,$2.99
The Father's Table Three Slice Strawberry Swirl Cheesecake,$7.99
"French Silk Pie, 6""",$7.99
"Bakery Fresh 7"" Carrot Double Layer Round Cake",$24.99
Artisan Cranberry Walnut Bread Half Loaf,$3.99
Strawberry Breakfast Bar Coffee Cake,$4.99
Unbleached White Bread,$4.99
Wholesome Harvest 100% Stone Ground Whole Wheat Bread 24 oz,$5.99
"Racine Danish Kringles Danish, Cherry",$8.99
"Cherry Cheesecake, Small",$4.99
Triple Tiger Chocolate Bar Cake Original Cakery,$18.99
Garlic Breadsticks 5Ct,$4.99
"Blueberry Pie, Half",$7.49
Croissant Cinnamon Chips,$3.99
"Thumbprint Cookies, 12 count",$5.99
Roasted Garlic Sour Dough Half Loaf,$3.49
Mediterranean Pita Chips,$4.99
Variety Pack Bagels 3Ct,$4.99
"Emily Kate's Gluten Free Bakery, Chocolate Cake Slice",$3.99
Racine Danish Kringles Danish 14 oz,$8.99
"Father's Table Variety Cheesecake 6""",$9.99
The Father's Table Fudge Brownie Cheesecake,$19.99
Jalapeno Cheddar Artisan Bread Half Loaf,$3.49
"Mini Brownie Cookies, 18ct",$5.99
Krispy Krust Bread,$3.99
"Racine Danish Kringles Danish, Apple Cinnamon",$8.99
Cream Cheese Iced Cinnamon Rolls 4 Count,$4.99
Kaiser Rolls 4 Count,$2.99
Garlic Crown Bread,$4.99
Chocolate Chip Dessert Loaf,$2.99
Oreo Cookies & Cream Fluff,$9.99/lb
The Cheesecake Factory Chocolate Mousse Cheesecake,$19.99
"Sweet P's Bake Shop Frosted Sugar Cookies, Yellow",$4.99
Wheat Slider Buns 12 Count,$3.99
Artisan French Boule Half Loaf,$2.99
Lemon Poppy Seed Dessert Loaf,$2.99
"Molasses Cookies, 12 Count",$5.99
Emily Kate's GF Chocolate Cupcakes,$8.99
"Sweet P's Bake Shop Frosted Sugar Cookies, Blue",$4.99
Blarney Stones 4Ct,$6.99
"Dutch Apple Pie, Half",$7.49
Zorba Rolls 4 Count,$4.99
Cherry Filled Crispies,$4.99
"Apple Pie, 12""",$14.99
Artisan Pane Toscano Bread Half Loaf,$2.99
Rustic Country Bread,$4.99
Pumpkin Bars,$2.99
David's Cookies Chocolate Overload Cake 7.4 oz,$4.99
"Banana Creme Pie, 6""",$7.99
Lemoncello Dessert Bowl,$6.99
Fudge Iced Brownies 2 Count,$2.99
Bakery Fresh Hawaiian Hot Dog Buns,$3.99
"Lemon Meringue Pie, 6""",$7.99
Turtle Cheesecake Wedge,$4.99
French Bread,$2.99
"Racine Danish Kringles Danish, Raspberry Cheesecake",$8.99
Emily Kate's Gluten Free Chocolate Brownies,$8.99
"Chocolate Chip Cookies, 3 count",$1.99
"Lemon Poppy Seed Muffins, 2ct",$3.49
Single Layer Chocolate Cake 5 Inch,$9.99
Cherry Dessert Loaf,$2.99
Focaccia Bread Jalapeno & Cheddar,$5.99
Father's Table Strawberry Cheesecake,$4.99
Reese's Peanut Butter Cake Parfait 4.9 oz,$4.99
"Pumpkin Pie, Half",$7.49
Lemon Creme Cake - Half Cake,$3.99
Gourmet Cinnamon Roll,$3.99
Emily Kate's GF Vanilla Cupcakes,$8.99
Father's Table Chocolate Marble Cheesecake 2 count,$4.99
Gluten Free Multi Ancient Grain Sliced Bread,$6.49
"Racine Danish Kringles Danish, Barvarian Creme",$8.99
David's Cookies Rainbow Cake 7 oz,$4.99
Palmer Birthday Cake Poppers,$5.99
Scotcharoos 2 Count,$2.99
Soiree Pita Chips Jalapeno,$5.99
Father's Table New York Cheesecake 2 count,$4.99
Fathers Table Red Velvet Roll 18 oz,$5.99
Double Dutch Dessert Loaf,$2.99
"Wildberry Pie, Half",$7.49
"Killer Brownie Kitchen Sink, 8 Bites",$6.99
Soiree Unsalted Pita Chips,$5.99
Taste of Heaven Bakery Pumpkin Bars with Cream Cheese Icing,$8.99
Sweet P's Angel Food Loaf,$1.99
"Killer Brookie Brownie, 8 Bites",$6.99
Pumpkin Cupcakes With Cream Cheese Icing,$6.99
"Killer Chocolatier Brownie, 8 Bites",$6.99
"My Dad's Gluten Free Cookies, Sprinkle Cookies",$5.99
Banana Bars 6 Count,$5.99
"Pumpkin Muffins, 4ct",$5.99
Pumpkin Muffins 2CT,$3.19
"Cinnamon Crunch Bagels, 3 Count",$4.99
"Wheat Bread, Half Loaf",$2.49
"Mini Sugar Cookies, 18ct",$5.99
Oreo Cookie Pie,$8.99
Ground Beef Roll 80% Lean 20% Fat,$3.98
